83, 10.241, 666.542, 676.783, 
57, 9.807, 432.053, 441.86, 
16, 44.812, 108.688, 118.125, 
59, 21.831, 444.61, 454.356, 
39, 43.103, 301.923, 312.077, 
26, 73.385, 201.923, 212.269, 
8, 250.25, 44.75, 53.5, 
100, 30.14, 757.17, 766.92, 
52, 67.904, 397.865, 407.769, 
61, 67.393, 464.525, 474.377, 
35, 127.114, 268.914, 279.029, 
51, 97.863, 391.392, 401.333, 
60, 93.667, 454.133, 463.9, 
85, 76.071, 642.435, 652.212, 
35, 194.171, 268.914, 279.029, 
54, 134.907, 414.944, 424.852, 
47, 164.766, 365.809, 375.894, 
45, 181.756, 353.6, 363.8, 
45, 190.956, 353.6, 363.8, 
51, 178.804, 391.392, 401.333, 
16, 580.0, 108.688, 118.125, 
22, 431.364, 167.636, 177.909, 
88, 117.409, 665.659, 675.443, 
21, 501.81, 157.0, 167.143, 
31, 349.968, 238.226, 248.387, 
48, 236.042, 368.667, 378.646, 
98, 125.949, 737.082, 746.765, 
13, 960.615, 82.385, 91.538, 
63, 207.905, 474.81, 484.571, 
38, 354.763, 291.237, 301.289, 
41, 339.122, 320.951, 331.195, 
58, 10.293, 450.414, 460.707, 
30, 30.367, 209.067, 218.667, 
65, 10.462, 532.185, 542.646, 
78, 18.692, 640.205, 650.628, 
65, 32.415, 532.185, 542.646, 
95, 10.232, 752.558, 762.789, 
97, 20.124, 773.165, 783.433, 
79, 34.392, 615.329, 625.392, 
70, 10.6, 603.086, 613.686, 
83, 9.952, 640.157, 650.108, 
75, 9.48, 545.853, 555.333, 
46, 9.913, 341.478, 351.391, 
76, 10.039, 606.987, 617.026, 
55, 10.164, 442.818, 452.982, 
81, 9.741, 620.679, 630.42, 
